timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
810003200,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,0,0,0,0
810003204,0,0.05288906508467726,0.0031022768760031877,1,0,0.004,0.002930425224656835,0.0008415668143895161,0.0005731449336749961,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.0001101600000166517,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,2,0.002916,0,0,0
810003208,0,0.04808804724576097,0.05041405017594516,2,0,0.004,-0.03639220311669944,0.031515789939900785,-0.014964591271386496,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010020640000000642,0.00012064000347682368,0.0000010065625680002662,0.00010000000080000002,0.010000000080000002,NaN,0,0,1,0.000166,0,0,0
810003212,0,0.042716029309099866,0.07446767888327688,3,0,0.004,-0.0565429403758264,0.04454952167394399,-0.019070165456581023,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010031440000003203,0.00013144002245836476,0.0000010152230520523564,0.00010000000120000002,0.010000000120000001,NaN,0,0,1,0.00020800000000000001,0,0,0
810003216,0,0.04190427800866377,0.10489059443245025,4,0,0.004,-0.08189052595841975,0.05192419951041671,-0.03999820075764138,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010042560000008963,0.00014256007394831892,0.0000010279321766834103,0.00010000000160000003,0.010000000160000001,NaN,0,0,1,0.000042,0,0,0
810003220,0,0.04518070737039838,0.11946832522999418,5,0,0.004,-0.10984460827112502,0.03372465443934214,-0.0327030648406188,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010054000000019202,0.00015400016964982094,0.000001045056023654829,0.00010000000200000004,0.010000000200000001,NaN,0,0,1,0.000083,0,0,0
810003224,0,0.046176279176774075,0.1231189945973512,6,0,0.004,-0.11584022229868327,0.028988429930851822,-0.029983339683870014,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010065760000035202,0.00016576031240342592,0.000001066976036583451,0.00010000000240000004,0.010000000240000001,NaN,0,0,1,0.000083,0,0,0
810003228,0,0.041404857587372904,0.12240664693100799,7,0,0.004,-0.11333420737641683,0.004263108289396911,-0.04604965319049281,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010077840000058242,0.00017784048033394514,0.0000010940890212303033,0.00010000000280000005,0.01000000028,NaN,0,0,1,0.000084,0,0,0
810003232,0,0.03279351467613064,0.12269493443906745,8,0,0.004,-0.11177582212065565,-0.00269652829056799,-0.050526639126670325,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010090240000089603,0.00019024070896234914,0.000001126807144333398,0.00010000000320000006,0.01000000032,NaN,0,0,1,0.000084,0,0,0
810003236,0,0.02022792267788364,0.1377511043877935,9,0,0.004,-0.11534923246990733,-0.007547444845429574,-0.07491967301694036,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010102960000130564,0.00020296102610979896,0.0000011655579344186924,0.00010000000360000006,0.01000000036,NaN,0,0,1,0.000084,0,0,0
