timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,accel_saturated,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
494065085,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,2,0,0,0,0
494065089,0,0.0018604043571104302,0.01061138224261361,1,0,0.004,0.010066396249457266,0.003356596655625467,-0.00004856479395698443,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.00011016000018018465,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,0,4,0.001956,0,0,0
494065093,0,0.0005721769218846804,0.012051373424662806,2,0,0.004,0.00634498281972859,0.007715797873319281,-0.006741161444150379,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010020640000000642,0.00012064000062799677,0.0000010065625680028829,0.00010000000080000002,0.010000000080000002,NaN,0,0,0,2,0.001396,0,0,0
494065097,0,0.0012165324523510997,0.013612728937419837,3,0,0.004,0.005228558790810009,0.009023558238627431,-0.008748940439208042,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010031440000003203,0.00013144000139971078,0.0000010152230520232938,0.00010000000120000002,0.010000000120000001,NaN,0,0,0,2,0.001466,0,0,0
494065101,0,0.0017789772079082754,0.016361716339990822,4,0,0.004,0.008264510854196397,0.01277536218885962,-0.006016123575413701,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010042560000008963,0.000142560003172652,0.000001027932176089931,0.00010000000160000003,0.010000000160000001,NaN,0,0,0,2,0.001397,0,0,0
494065105,0,0.0009169921851975429,0.023984464371577092,5,0,0.004,0.015932232073157956,0.017265368731592422,0.004829653706078574,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010054000000019202,0.00015400000741673176,0.0000010450560202727894,0.00010000000200000004,0.010000000200000001,NaN,0,0,0,2,0.0014670000000000002,0,0,0
494065113,0,0.0014947068900209224,0.007028877226558907,6,0,0.008,0.00479484667776911,0.0018251242958613884,0.004804527209557818,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010077840000057603,0.00017784000962252472,0.0000010938240294618691,0.00010000000280000004,0.01000000028,NaN,0,0,0,2,0.0014670000000000002,0,0,0
494065117,0,0.0019339221824862937,0.005744833514275773,7,0,0.004,0.0014536310591524576,-0.002806949034857925,0.0047969892606012365,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010090240000087683,0.00019024000944308422,0.0000011261862745638418,0.00010000000320000004,0.01000000032,NaN,0,0,0,2,0.0014670000000000002,0,0,0
494065121,0,0.0023304722553166082,0.00721969387163828,8,0,0.004,-0.0057615527331658645,-0.003920752283934223,-0.0018857866345758367,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010102960000127362,0.00020296000786327627,0.0000011645760399567922,0.00010000000360000005,0.01000000036,NaN,0,0,0,2,0.0028640000000000002,0,0,0
494065125,0,0.0011554927078300426,0.008628912904604635,9,0,0.004,0.0020283620651098955,0.0057395690699196256,0.0061156546779308485,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010116000000177923,0.00021600000916856423,0.0000012094362054896953,0.00010000000400000006,0.0100000004,NaN,0,0,0,1,0.0014670000000000002,0,0,0
494065129,0,0.0016899703666216313,0.012641055408672048,10,0,0.004,0.00772061272316632,0.0052804543030748885,0.008503247813461456,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010129360000240644,0.0002293600115807505,0.0000012612250114258484,0.00010000000440000006,0.01000000044,NaN,0,0,0,2,0.001397,0,0,0
494065133,0,0.0012488139827943375,0.011000863857322582,11,0,0.004,0.009397288117755864,0.005137384662708376,0.002513416094998888,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010143040000316804,0.0002430400146352934,0.0000013204160579507568,0.00010000000480000007,0.01000000048,NaN,0,0,0,2,0.001397,0,0,0
494065137,0,0.001405996978702948,0.011157178950316081,12,0,0.004,0.00990029073613273,0.005094463770598426,0.0007164665794583414,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010157040000407684,0.00025704001819689456,0.0000013874983052281925,0.00010000000520000008,0.01000000052,NaN,0,0,0,1,0.0014670000000000002,0,0,0
494065141,0,0.0012315660513126062,0.003723699302127434,13,0,0.004,0.0033400750577637917,-0.001632221720601769,0.00021374600806645105,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010171360000514565,0.00027136001882578143,0.0000014629760734282691,0.00010000000560000008,0.01000000056,NaN,0,0,0,2,0.001397,0,0,0
494065145,0,0.0015004069396932493,0.001404414031860667,14,0,0.004,0.0013721513609367547,-0.00029316947556957615,0.000060258394940504445,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010186000000638726,0.00028600001925546914,0.0000015473690422827135,0.00010000000600000009,0.0100000006,NaN,0,0,0,2,0.001397,0,0,0
494065149,1,0.0012942740827753788,0.012165075332916485,0,0,0.004,0.0007355565610148301,0.006814659167254954,-0.01005029526109702,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.000010652644360316954,0.000021305288720633908,0,0.000611661325553436,0.0005055932370229516,0.000059909280881976706,-0.00000000003534916376339256,0.00000000003920193664014605,0.00000000003193872056420342,0.00010200959783396822,0.00007505985765894057,0.0000012590575269275108,0.00010000000639894786,0.008978452349697042,0.0004985866277984127,0,0,0,9,0.0028640000000000002,0,0,0
494065153,1,0.0003718639651520666,0.008984209298792355,0,0,0.004,-0.00000537523460003575,0.00845206538378663,0.0002720790996555422,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.000010439591473110615,0.00002087918294622123,0,0.0006116319109579523,0.000541041376587598,0.00006107808736028304,-0.00000000003957162251188432,0.000000000038044433461093517,0.00000000006781325636037247,0.00010216239722970642,0.000046375075439998496,0.0000012234335785687342,0.00010000000679820045,0.008773432163379537,0.000033825780743431916,0,0,0,2,0.0014670000000000002,0,0,0
494065157,1,0.00009552488366403283,0.010214907243302089,0,0,0.004,-0.00004404636243485194,0.009059522028312776,0.0033846543450106736,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.000010230799643648401,0.000020461599287296802,0,0.0006114182836633002,0.0005732611276540258,0.0000731434980536504,-0.000000000027057310220402594,0.000000000029423837045088334,0.00000000009105047552420706,0.0001023183966803522,0.00003644913743673459,0.000001213564705807533,0.00010000000719795927,0.008648966929769604,0.00003868493546562596,0,0,0,13,0.001397,0,0,0
494065161,1,0.0007505782042821061,0.003820004599940635,0,0,0.004,-0.00007156188719394108,-0.004210734784623752,0.0009643594461987703,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.000020678828011092387,0.000020052367301550866,0,0.0006111639524325936,0.0005591331194627604,0.0000763662740331627,-0.000000000012069480112115473,0.000000000027813701780567524,0.00000000008513232519972077,0.00010247759656814981,0.00003211088600840151,0.0000012111182134868242,0.0001000000075978761,0.008545364865532666,0.00001728138775520623,0,0,0,2,0.001397,0,0,0
494065165,1,0.00021094721219014627,0.006895581848392874,0,0,0.004,-0.00006355954159212307,0.005262881579204966,0.0035810170682886167,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.000020265251450870542,0.000019651319955519848,0,0.0006108985747724634,0.0005765117803571027,0.0000882102550335835,-0.000000000011961965989233175,0.000000000024660969356706814,0.00000000008976771682791324,0.00010263999642486127,0.000030030070501400557,0.00000121145697230149,0.0001000000079976617,0.008447860894161087,0.00002546390247403151,0,0,0,2,0.001397,0,0,0
494065173,1,0.000051872827222614736,0.006661588527268357,0,0,0.008,0.0032787553671569103,0.0047234619915833,0.0009892595667349013,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.00001985994642185313,0.00001925829355640945,0,0.0006367948749307695,0.0006138684631267649,0.00009618444610043385,-0.00000000003254418148619822,0.00000000004443878288544614,0.00000000006355066186455216,0.00010297439632854734,0.00003416387543644372,0.000001219447522318881,0.00010000000879714051,0.008299373187546897,0.00004667502248284414,0,0,0,2,0.001466,0,0,0
494065177,1,0.0000185908235132975,0.007105165332290302,0,0,0.004,0.00425545241740162,0.004529490710413982,0.00020745702116187204,0.005225674735134689,-0.048607837194670545,0.06877963390946906,-0.00001946274749341607,0.00001887312768528126,0,0.0006522850870049324,0.0006303609365780259,0.00009702447592952918,-0.000000000045281091135576435,0.00000000005721732935571373,0.00000000004581686848272435,0.00010314639622932137,0.00003107614569716757,0.0000012212771893199646,0.00010000000919647772,0.008179152096005124,0.000024873503906969022,0,0,0,2,0.001466,0,0,0
