timestamp_ms,calc_position_x,calc_position_y,calc_position_z,calc_velocity_x,calc_velocity_y,calc_velocity_z,calc_attitude_w,calc_attitude_x,calc_attitude_y,calc_attitude_z
493703701,0,0,0,0,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703705,-0.00000000000000000000005551115123125782,0,0,-0.000000000000000000027755575615628914,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703709,-0.0000000000000000000002220446049250313,0,0,-0.00000000000000000005551115123125783,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703713,-0.0000000000000000000004996003610813205,0,0,-0.00000000000000000008326672684688674,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703717,-0.0000000000000000000008881784197001252,0,0,-0.00000000000000000011102230246251566,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703721,-0.0000000000000000000013877787807814457,0,0,-0.00000000000000000013877787807814457,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703725,-0.000000000000000000001998401444325282,0,0,-0.00000000000000000016653345369377348,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703729,-0.0000000000000000000027200464103316334,0,0,-0.0000000000000000001942890293094024,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703733,-0.000000000000000000003552713678800501,0,0,-0.0000000000000000002220446049250313,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703737,-0.000000000000000000004496403249731884,0,0,-0.00000000000000000024980018054066025,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703741,-0.000000000000000000005551115123125783,0,0,-0.0000000000000000002775557561562892,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703745,-0.000000000000000000006716849298982198,0,0,-0.00000000000000000030531133177191813,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
493703753,-0.000000000000000000009381384558082575,0,0,-0.00000000000000000036082248300317596,0,0,1.0000000307352963,0.000040405738023485726,-0.000015169265730551702,-0.00000011828432172622527
