timestamp_ms,calc_position_x,calc_position_y,calc_position_z,calc_velocity_x,calc_velocity_y,calc_velocity_z,calc_attitude_w,calc_attitude_x,calc_attitude_y,calc_attitude_z
807892397,0.0006864182331224588,0.00284610813285588,0.0011311835149896469,0,0,0,0.999866799995156,-0.0019109634718642288,-0.015948198490665297,0.0028957643132905297
807892401,0.0006881820018712622,0.00284633838878066,0.001131071887186026,0,0,0,0.9998645912100402,-0.0019736787303979405,-0.016072853078745196,0.0029269831836519476
807892405,0.0006897208255399034,0.0028465663346762923,0.001130698976964471,0,0,0,0.9998633004941135,-0.0019937940210205413,-0.016144054618982318,0.0029621969683051655
807892409,0.0006907131926995313,0.002846628216113497,0.001130045268023075,0,0,0,0.9998623650843644,-0.0019936262307915322,-0.016194250615425808,0.00300376253355848
807892413,0.0006912217691032395,0.002846584594183021,0.0011292969679770068,0,0,0,0.9998623852685506,-0.0019948643473589886,-0.01619227430256377,0.0030068744953411527
807892417,0.0006915797273301315,0.002846510080441869,0.0011285209036791,0,0,0,0.9998614273005105,-0.0019953449446992997,-0.0162400619127652,0.0030667872777642895
807892421,0.0006916889990864136,0.0028464225645673013,0.0011279979436440322,0,0,0,0.9998602720102904,-0.001968183956060835,-0.01630325151098713,0.0031251716100985636
807892425,0.0006916094528184896,0.0028463297184681624,0.0011277880564445608,0,0,0,0.9998596336784378,-0.0019431630762829523,-0.016328983335775513,0.0032095733204343833
807892429,0.0006913538089243227,0.0028463138973614356,0.0011279625512678703,0,0,0,0.9998591830207136,-0.0019196686179395888,-0.016351327262464754,0.0032500920455030735
807892433,0.0006909641968485622,0.0028462681199951335,0.0011283036896478568,0,0,0,0.9998591889399461,-0.0019192218233076066,-0.01635078808867004,0.003251247272297878
807892437,0.0006905390204355617,0.0028462110090831396,0.0011286939425116031,0,0,0,0.9998592210103769,-0.0018986707470663904,-0.016337936684428615,0.003317383730007107
807892441,0.0006900545794188946,0.002846230917034113,0.0011289095948519773,0,0,0,0.9998589953759572,-0.0018981435448860513,-0.016343115337691935,0.0033599104041001065
807892449,0.0006874731538720525,0.0028465071359417417,0.0011292166165966365,0,0,0,0.9998597981938019,-0.0018955293671101196,-0.016268555327952714,0.003482101636862993
807892453,0.0006867722674060143,0.0028465910041830574,0.0011293323113098113,0,0,0,0.9998597942582018,-0.0018943634358419088,-0.016269710769080615,0.003478465841384829
807892457,0.0006860657270529961,0.0028466765936401004,0.0011294583673388775,0,0,0,0.9998606194171143,-0.0018725633643349913,-0.016210704755077715,0.003528214366308451
807892461,0.0006853417207261981,0.002846812303206278,0.0011299880094864775,0,0,0,0.9998604071067843,-0.0018275777962050573,-0.016219896507847116,0.0035694841264659345
807892465,0.0006847079971220299,0.00284695675094934,0.0011309350865177372,0,0,0,0.9998598062982279,-0.0017574028514020731,-0.01625153194803605,0.0036286352571964693
