timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
802182655,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,0,0,0,0
802182659,0,0,0.000000000000000003469446951953614,1,0,0.004,0.000000000000000003469446951953614,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.00011015999999999985,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,2,0.005,0,0,0
802182663,0,0,0.003357058958268818,2,0,0.004,0.00000016249910351280768,0.0033570586722183604,-0.0000013762886545976016,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010020640000000642,0.00012064000001865906,0.0000010065625679999998,0.00010000000080000002,0.010000000080000002,NaN,0,0,1,0.000083,0,0,0
802182667,0,0,0.0037739474509439048,3,0,0.004,0.0000821135768961561,0.0037729952027209523,0.000021069485518054876,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010031440000003203,0.00013144000008456,0.0000010152230520002977,0.00010000000120000002,0.010000000120000001,NaN,0,0,1,0.000083,0,0,0
802182671,0,0,0.004076011905031145,4,0,0.004,0.00008212827626787956,0.00407513049015279,0.000020963883704538944,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010042560000008963,0.0001425600002100343,0.0000010279321760029157,0.00010000000160000003,0.010000000160000001,NaN,0,0,1,0.000083,0,0,0
802182675,0,0,0.004166633244728276,5,0,0.004,0.00008213268607939347,0.004165771076382274,0.000020932203160128893,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010054000000019202,0.00015400000039777746,0.000001045056020012518,0.00010000000200000004,0.010000000200000001,NaN,0,0,1,0.000083,0,0,0
802182679,0,0,0.004193819808897322,6,0,0.004,0.00008213400902285181,0.004192963252251103,0.000020922698995562428,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010065760000035202,0.00016576000064878445,0.000001066976024036682,0.00010000000240000004,0.010000000240000001,NaN,0,0,1,0.000083,0,0,0
802182683,0,0,0.004201975792313703,7,0,0.004,0.00008213440590588481,0.00420112090501179,0.000020919847747435938,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010077840000058242,0.0001778400009640518,0.0000010940889880859706,0.00010000000280000005,0.01000000028,NaN,0,0,1,0.000083,0,0,0
802182687,0,0,0.00420442258860207,8,0,0.004,0.00008213452497079886,0.004203568200840002,0.00002091899237299799,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010090240000089603,0.00019024000134474994,0.000001126807072173988,0.00010000000320000006,0.01000000032,NaN,0,0,1,0.000125,0,0,0
802182691,0,0,0.004205156627601983,9,0,0.004,0.00008213456069027273,0.004204302389588466,0.00002091873576048897,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010102960000130564,0.00020296000179215667,0.0000011655577963174408,0.00010000000360000006,0.01000000036,NaN,0,0,1,0.000083,0,0,0
