timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
493703701,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,0,0,0,0
493703705,0,0,0.000000000000000006938893903907228,1,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.00011016,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,2,0.0053750000000000004,0,0,0
493703709,0,0,0.000000000000000006938893903907228,2,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010020640000000642,0.00012064000000064,0.0000010065625679999998,0.00010000000080000002,0.010000000080000002,NaN,0,0,1,0.000166,0,0,0
493703713,0,0,0.000000000000000006938893903907228,3,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010031440000003203,0.0001314400000032,0.00000101522305200001,0.00010000000120000002,0.010000000120000001,NaN,0,0,1,0.000083,0,0,0
493703717,0,0,0.000000000000000006938893903907228,4,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010042560000008963,0.00014256000000896,0.0000010279321760001023,0.00010000000160000003,0.010000000160000001,NaN,0,0,1,0.000083,0,0,0
493703721,0,0,0.000000000000000006938893903907228,5,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010054000000019202,0.0001540000000192,0.0000010450560200004708,0.00010000000200000004,0.010000000200000001,NaN,0,0,1,0.000042,0,0,0
493703725,0,0,0.000000000000000006938893903907228,6,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010065760000035202,0.0001657600000352,0.0000010669760240014948,0.00010000000240000004,0.010000000240000001,NaN,0,0,1,0.000083,0,0,0
493703729,0,0,0.000000000000000006938893903907228,7,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010077840000058242,0.00017784000005823997,0.0000010940889880037986,0.00010000000280000005,0.01000000028,NaN,0,0,1,0.000042,0,0,0
493703733,0,0,0.000000000000000006938893903907228,8,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010090240000089603,0.00019024000008959998,0.0000011268070720083145,0.00010000000320000006,0.01000000032,NaN,0,0,1,0.000083,0,0,0
493703737,0,0,0.000000000000000006938893903907228,9,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010102960000130564,0.00020296000013055997,0.0000011655577960163426,0.00010000000360000006,0.01000000036,NaN,0,0,1,0.000042,0,0,0
493703741,0,0,0.000000000000000006938893903907228,10,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010116000000182404,0.00021600000018239993,0.0000012107840400296136,0.00010000000400000007,0.0100000004,NaN,0,0,1,0.000084,0,0,0
493703745,0,0,0.000000000000000006938893903907228,11,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010129360000246403,0.00022936000024639992,0.0000012629440440503494,0.00010000000440000008,0.01000000044,NaN,0,0,1,0.000042,0,0,0
493703753,0,0,0.000000000000000006938893903907228,12,0,0.008,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010157040000415364,0.0002570400004153599,0.0000013894182921201864,0.00010000000520000008,0.01000000052,NaN,0,0,1,0.000042,0,0,0
493703757,0,0,0.000000000000000006938893903907228,13,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010171360000522245,0.0002713600005222399,0.0000014648960561808994,0.00010000000560000008,0.01000000056,NaN,0,0,1,0.000083,0,0,0
493703761,0,0,0.000000000000000006938893903907228,14,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010186000000646406,0.0002860000006464,0.000001549289020263823,0.00010000000600000009,0.0100000006,NaN,0,0,1,0.000083,0,0,0
493703765,1,0,0.000000000000000006938893903907228,0,0,0.004,-0.000000000000000006938893903907228,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.0000000000000000007088415354881518,-0.00000000000000000000000016682075176179926,0.000000000000000000000021505218671836145,0,0.00000000000000000000000000000000000000000000000000000000018253941647660955,-0.000000000000000000000000000000000000000000000000000000023210543457810597,0.00010200960000789126,0.0000750598563938567,0.0000012609775261972709,0.0001000000064000001,0.008978452297110246,0.0000000000000000004440892098500627,0,0,2,0.000083,0,0,0
