timestamp_ms,calc_position_x,calc_position_y,calc_position_z,calc_velocity_x,calc_velocity_y,calc_velocity_z,calc_attitude_w,calc_attitude_x,calc_attitude_y,calc_attitude_z
807892397,0,0,0,0,0,0,0.9998707350811435,-0.0019164471677645817,-0.015940154534758923,0.0029068498340827365
807892401,0.000000026814243385313576,-0.00000009933207526714584,-0.0000004774021727932194,0.000013407121692656788,-0.000049666037633572916,-0.0002387010863966097,0.9998813007770624,-0.0019776479182177092,-0.016053399533851057,0.0029387061896467004
807892405,-0.000000009993240277917707,-0.00000039948140805229576,-0.000002038507205686088,-0.00003181086352427243,-0.00010040862875900202,-0.0005418514300498245,0.9998852927175339,-0.001996693926314269,-0.016123163490252647,0.0029743998748285594
807892409,-0.0000006195687869032725,-0.0000009881780203683645,-0.000005081055307847031,-0.00027297690978840496,-0.00019393967739903228,-0.000979422621030647,0.9998859977802819,-0.0019946625632325105,-0.01617118692530895,0.0030120122248193937
807892413,-0.0000027107873999617323,-0.000002087329796410897,-0.000010061002992487006,-0.0007726323967408249,-0.00035563621062223395,-0.0015105512212893403,0.9998859977802819,-0.0019946625632325105,-0.01617118692530895,0.0030120122248193937
807892417,-0.000007118370603237453,-0.000003901658032615643,-0.000017226481581601292,-0.0014311592048970355,-0.0005515279074801391,-0.0020721880732678033,0.9998649623216842,-0.001994549864959755,-0.01622249723808898,0.0030707019459885188
807892421,-0.000014359821145161144,-0.000006521526849520442,-0.000026525694220916265,-0.00218956606606481,-0.000758406500972261,-0.0025774182463896836,0.9998848260908013,-0.0019674911028089853,-0.01629351670913256,0.003126767939600983
807892425,-0.00002485366481305823,-0.000009978042239521046,-0.00003756251999551574,-0.0030573557678837326,-0.000969851194028041,-0.002940994640910052,0.9998815811256584,-0.0019430141556341929,-0.016325005165376313,0.0032091168469244313
807892429,-0.00003900113485632794,-0.000014244395418984451,-0.00004970467205151955,-0.004016379253751123,-0.0011633253957036615,-0.0031300813870918528,0.9998789993106824,-0.0019199054213741712,-0.01635128807908731,0.0032486478617242964
807892433,-0.00005713974877556783,-0.000019261060962992752,-0.00006232745661478788,-0.005052927705868819,-0.0013450073763004893,-0.0031813108945423106,0.9998789993106824,-0.0019199054213741712,-0.01635128807908731,0.0032486478617242964
807892437,-0.00007950935638225876,-0.000025025102498994323,-0.00007504719567465491,-0.006131876097476646,-0.0015370133917002962,-0.0031785586353912055,0.9998533087614463,-0.001899378502090085,-0.0163380399779985,0.0033144617902350904
807892441,-0.00010624220014750694,-0.00003152425118612106,-0.00008781869928324283,-0.007234545785147445,-0.0017125609518630744,-0.0032071931689027556,0.9998526456112793,-0.001898010289175342,-0.01634324552053122,0.0033572796827586737
807892449,-0.00017338056212319586,-0.000046376331991586773,-0.0001143327520897553,-0.009550044708774786,-0.0020004592495033533,-0.003421320032725362,0.9998696602562941,-0.0018933132859560442,-0.016269939485358507,0.00347506707421652
807892453,-0.00021400455655620063,-0.0000546340191342747,-0.00012828217731609753,-0.0107619525077276,-0.00212838432184061,-0.0035533925804457564,0.9998696602562941,-0.0018933132859560442,-0.016269939485358507,0.00347506707421652
807892457,-0.0002595068578831084,-0.00006339510221611139,-0.0001427352296350608,-0.0119891981557263,-0.002252157219077736,-0.003673133579035888,0.9998643420154888,-0.0018715308520300122,-0.01621058661402234,0.0035250091740818834
