timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,accel_saturated,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
641344467,0,0,0,0,0,0,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.000001,0.0001,0.010000000000000002,NaN,0,0,0,2,0,0,0,0
641344471,0,0.016258462133667634,0.019569391066938446,1,0,0.004,-0.016724249208653896,0.00802535610160382,0.006233314894986464,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010010160000000001,0.00011016000054773065,0.0000010016000039999999,0.00010000000040000001,0.010000000040000002,NaN,0,0,0,4,0.001885,0,0,0
641344475,0,0.02539632864860152,0.03986100646671916,2,0,0.004,-0.03473835127849334,0.01614072392834698,0.01102831891362932,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010020640000000642,0.00012064000516739353,0.0000010065625680087636,0.00010000000080000002,0.010000000080000002,NaN,0,0,0,2,0.001956,0,0,0
641344479,0,0.03207027396094888,0.06538186058658989,3,0,0.004,-0.05316789014326395,0.03075558291731828,0.02240663452850633,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010031440000003203,0.0001314400223673673,0.0000010152230521452638,0.00010000000120000002,0.010000000120000001,NaN,0,0,0,3,0.001466,0,0,0
641344483,0,0.03410197839878789,0.07362515921949327,4,0,0.004,-0.059352335670781464,0.03514443892874708,0.025745538116384026,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010042560000008963,0.00014256005612688888,0.0000010279321769585156,0.00010000000160000003,0.010000000160000001,NaN,0,0,0,2,0.001397,0,0,0
641344487,0,0.03772417663015579,0.08740111680604189,5,0,0.004,-0.07592866924711172,0.02442735499069737,0.03573649022308345,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010054000000019202,0.00015400011323089545,0.000001045056023710455,0.00010000000200000004,0.010000000200000001,NaN,0,0,0,2,0.001466,0,0,0
641344491,0,0.03800506527816652,0.11832473728312579,6,0,0.004,-0.10312375957547903,0.0089974933249648,0.057317351456664056,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010065760000035202,0.00016576022915466254,0.0000010669760347000026,0.00010000000240000004,0.010000000240000001,NaN,0,0,0,2,0.001886,0,0,0
641344495,0,0.036008879918506605,0.13480852174661234,7,0,0.004,-0.11518497844113296,-0.0027879521148067576,0.06998560994967562,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010077840000058242,0.00017784042092505668,0.000001094089014080659,0.00010000000280000005,0.01000000028,NaN,0,0,0,2,0.001397,0,0,0
641344499,0,0.032419553249987416,0.15324931934622169,8,0,0.004,-0.1324637712287513,-0.008217333471941868,0.07662361661099126,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010090240000089603,0.00019024070988829967,0.000001126807130501434,0.00010000000320000006,0.01000000032,NaN,0,0,0,2,0.003422,0,0,0
641344503,0,0.03163681924343114,0.15958643599724617,9,0,0.004,-0.13861777310457168,-0.009641634107038333,0.0784855555218833,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010102960000130564,0.0002029610910953586,0.0000011655579173100636,0.00010000000360000006,0.01000000036,NaN,0,0,0,2,0.001396,0,0,0
641344507,0,0.02878260943672937,0.14945755812900632,10,0,0.004,-0.12136217311498942,-0.02687081831765381,0.08298640696904691,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010116000000182404,0.00021600151371959836,0.0000012107842706669531,0.00010000000400000007,0.0100000004,NaN,0,0,0,2,0.001396,0,0,0
641344511,0,0.025605265295031758,0.16182917675975045,11,0,0.004,-0.12485286444398036,-0.050053293110856156,0.08997284334525801,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010129360000246403,0.00022936202941730092,0.0000012629444481287616,0.00010000000440000008,0.01000000044,NaN,0,0,0,2,0.001397,0,0,0
641344515,0,0.02662764176619871,0.17238378509903926,12,0,0.004,-0.13509112091683972,-0.06556182294535984,0.08466525725812701,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010143040000323844,0.000243042646854094,0.0000013225120732737597,0.00010000000480000008,0.01000000048,NaN,0,0,0,2,0.001466,0,0,0
641344519,0,0.03119504519334989,0.17138017910772763,13,0,0.004,-0.12652966595853554,-0.0835127107857997,0.07991893743428768,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010157040000416005,0.0002570433012692518,0.0000013899761347952401,0.00010000000520000009,0.01000000052,NaN,0,0,0,2,0.001397,0,0,0
641344523,0,0.032758469147786476,0.17148755133542676,14,0,0.004,-0.12415178340291777,-0.08854147680728552,0.07845203519145016,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010171360000524165,0.0002713640142349395,0.0000014658409803582223,0.0001000000056000001,0.01000000056,NaN,0,0,0,2,0.0014670000000000002,0,0,0
641344527,1,0.035214239496801,0.16270064103632392,0,0,0.004,-0.12595345989032336,-0.0873468164212502,0.054568839060033625,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0.00036218990825077636,-0.00006391586616190171,0,-0.008685414961480252,-0.0007853935219457601,0.005688823057048368,-0.00000003307598332965586,-0.000000004153882041068704,-0.00000005835192115882778,0.00010185965250570535,0.00007409358230527823,0.0000012251859088606097,0.00010000000548582714,0.0090673698667451,0.006698579965805699,0,0,0,3,0.003352,0,0,0
641344531,1,0.041306348669777886,0.15472661633533524,0,0,0.004,-0.11004454208343906,-0.09246040468311856,0.025665248907509763,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0.000781051884498439,-0.0001904692811624671,-0.000010652644360316954,-0.00915744186390101,-0.0011325481803511409,0.005833875478925953,-0.00000002809679974360116,-0.000000008504631616182744,-0.00000005267644441161058,0.00010200917553231906,0.000046086511653834026,0.0000011943932708646782,0.00010000000572360263,0.008869228480648507,0.000584019625396329,0,0,0,2,0.001956,0,0,0
641344535,1,0.045164049442977104,0.15982417740012714,0,0,0.004,-0.10926992155476456,-0.10492596772478346,-0.012215530353593351,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0.0012021892655814652,-0.00037840749402492295,0.000032170985968157195,-0.00956878501538119,-0.001478278434714745,0.005825880434283833,-0.000000022426442060463025,-0.000000014961565428172404,-0.00000004793921501038432,0.00010216192293173338,0.00003632820522187674,0.0000011859955124311408,0.00010000000595919206,0.008746504455715417,0.0006079288595404731,0,0,0,2,0.001397,0,0,0
641344559,1,0.04950033136758062,0.2211069611166558,0,0,0.024,-0.08995684357579892,-0.07132737717537596,-0.18830740862556716,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0.001614903899042831,-0.0005945448757110805,0.00024458045345513314,-0.013220011469935827,-0.003983362709545,-0.00044855498219295836,0.00000003815629569534284,-0.00000009081988359340755,-0.00000004820780898110145,0.00010314470765045766,0.0000513646963238735,0.0000012450523861774782,0.0001000000045979696,0.008313697739217358,0.005293047982443621,0,0,0,2,0.0014670000000000002,0,0,0
641344563,1,0.05108163510087456,0.26054132228972,0,0,0.004,-0.07979702714613945,-0.05537968133571225,-0.23460399804319998,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0.0020193642398349696,-0.0008063595097635149,0.0004527417315923695,-0.01364242904647455,-0.004239577440703517,-0.0014465612319587231,0.00000005719610450952391,-0.00000011071587871215937,-0.000000049996979253177504,0.00010331932693568376,0.000038521691510478103,0.0000012453321127683611,0.00010000000372707592,0.008118166890892372,0.0010156653822519345,0,0,0,2,0.001466,0,0,0
