timestamp_ms,calc_position_x,calc_position_y,calc_position_z,calc_velocity_x,calc_velocity_y,calc_velocity_z,calc_attitude_w,calc_attitude_x,calc_attitude_y,calc_attitude_z
810003200,-0.0007383124692724586,0.00039562974459548113,0.0005992440311713872,0,0,0,0.9999611687599708,0.002835533920344876,0.00802625241370495,0.00228034904591942
810003204,-0.0007378936953005567,0.00039613638786468926,0.0005997739170857624,0,0,0,0.999960124548146,0.0027824721151041127,0.008149232588443451,0.0023658340610010335
810003208,-0.0007377901537675501,0.00039688543200751416,0.0006001725162906538,0,0,0,0.9999597216210332,0.0027490097825657077,0.008193629494287796,0.002421263412328104
810003212,-0.0007378479102398084,0.00039773783151252784,0.0006005361785116183,0,0,0,0.9999589843274156,0.0027047805056088425,0.008276562726746747,0.002492455562270463
810003216,-0.0007381084013461361,0.00039864889738213636,0.0006007319019097137,0,0,0,0.9999583155965853,0.002685664650737713,0.008343180559543476,0.0025584395194146905
810003220,-0.0007385925214986435,0.0003994144489862287,0.0006009857529726719,0,0,0,0.999958317386871,0.0026831389835050737,0.008343649957651219,0.002558859002978236
810003224,-0.0007391245085663806,0.00040014216481152205,0.0006012612929856808,0,0,0,0.9999575747571047,0.002635658437537011,0.00841192221655547,0.002672368820481552
810003228,-0.0007396363461835598,0.00040067232196442206,0.0006014083791694489,0,0,0,0.9999568815174663,0.0026163264942473015,0.008477978752463285,0.002741134402457733
810003232,-0.0007401356494953398,0.00040114690053500297,0.0006015196702095171,0,0,0,0.9999564524606644,0.002580792241551007,0.008519769903814794,0.002801109507804596
810003236,-0.0007406635616406139,0.0004015827684710286,0.000601435940721472,0,0,0,0.9999566380663975,0.002539458592291668,0.00849785001871579,0.002838957918945024
810003240,-0.0007413374980822405,0.0004020590927727418,0.0006011342504999016,0,0,0,0.9999566348509732,0.00254054484339622,0.008497994060001892,0.0028386874382932826
810003244,-0.0007420569499650147,0.00040254979683414753,0.0006007688792342493,0,0,0,0.9999569153674686,0.0025216561999198174,0.008459649861667707,0.0028710595613563416
810003248,-0.0007429394063841186,0.00040299495273751404,0.0006003629357986108,0,0,0,0.9999580823660581,0.002479841697162719,0.008332404768130667,0.0028731388294081285
810003252,-0.0007439052671692424,0.00040339751957041626,0.0006000512405794486,0,0,0,0.9999590585438808,0.0024773166161279735,0.008213298330593088,0.002878518534262991
810003256,-0.0007447678811006357,0.0004037630518059497,0.0005999820393591589,0,0,0,0.9999599362878492,0.002452559417801846,0.008123292743421695,0.0028500678075320204
810003260,-0.0007454637984531646,0.00040419848673719843,0.0005998491523544447,0,0,0,0.99995991938702,0.002452862795948643,0.008124815057413227,0.0028513968316730216
810003264,-0.0007461177275197926,0.0004046560804214986,0.0005996980819628312,0,0,0,0.9999605159018607,0.00244308722134507,0.008047423421936553,0.0028700066866767246
810003268,-0.00074669461350865,0.0004050405564711425,0.0005993787058028938,0,0,0,0.9999614325174686,0.002445711804931871,0.007944563751781512,0.002834762454461123
810003272,-0.0007471260969763677,0.00040548798513333006,0.0005988485538240266,0,0,0,0.9999622579191036,0.002423327086836827,0.007857410125239057,0.002805588936753623
810003276,-0.0007474503947991895,0.0004061443530945229,0.0005981218673778361,0,0,0,0.9999634099929948,0.002405583180542176,0.007716019676766399,0.0028026567915040734
810003280,-0.0007477634379872053,0.0004069159971556025,0.0005973900057174228,0,0,0,0.999963424873302,0.002404183207084524,0.007714839332656303,0.002801798143025098
810003284,-0.0007480893397238359,0.0004077220108322339,0.0005966565820744716,0,0,0,0.9999643305500516,0.00240493237331628,0.007609511933401618,0.0027657288374903824
810003288,-0.0007483106886988737,0.0004084029917612033,0.0005959459506234123,0,0,0,0.9999646285582428,0.002419815121424585,0.007561564752234541,0.002776484405064782
