timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
493168210,0,0,0,12,0,0.02,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010350000002285445,0.0004500000022854282,0.000002735223141534578,0.00010000001000000007,0.010000001,NaN,0,0,1,0.000084,0,0,0
493168214,0,0,0,13,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010368160002625284,0.0004681600026252672,0.0000029357671460231345,0.00010000001040000008,0.01000000104,NaN,0,0,1,0.000083,0,0,0
493168218,0,0,0,14,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010386640002997765,0.0004866400029977462,0.0000031524250706242592,0.00010000001080000009,0.01000000108,NaN,0,0,1,0.000083,0,0,0
493168222,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010405440003404165,0.00008348308677362911,0.0000018623479148477812,0.00010000001120000009,0.007928119328958868,0,0,0,2,0.000083,0,0,0
493168226,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010424560003845764,0.00004874156759892169,0.000001757624927308025,0.0001000000116000001,0.007687411207602529,0,0,0,1,0.000083,0,0,0
493168230,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010444000004323844,0.00003740344097830708,0.0000017276422719692838,0.0001000000120000001,0.007561497755652484,0,0,0,1,0.000083,0,0,0
493168234,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010463760004839684,0.00003253939339692469,0.000001717781282077153,0.00010000001240000011,0.007465926335580092,0,0,0,1,0.000084,0,0,0
493168270,1,0,0,0,0,0.036,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010656000011262083,0.00005798257248437947,0.0000018339823344662213,0.00010000001600000012,0.006953949359314658,0,0,0,1,0.000083,0,0,0
493168274,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010678960012179844,0.0000409218061966987,0.0000018351200853353218,0.00010000001640000012,0.0067740849356186525,0,0,0,1,0.000083,0,0,0
493168278,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010702240013149445,0.000034147643428462234,0.0000018371313094922419,0.00010000001680000013,0.006662487532385593,0,0,0,1,0.000042,0,0,0
493168298,1,0,0,0,0,0.02,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00010823440018800644,0.00004743528342811502,0.0000018659278337125212,0.00010000001880000014,0.006410437820917921,0,0,0,1,0.000084,0,0,0
