time_ms,x_m,y_m
0,0.0,0.0
20,-0.004010695187165776,0.0
40,-0.008021390374331552,0.0
60,-0.012032085561497327,0.0
80,-0.016042780748663103,0.0
100,-0.02005347593582888,0.0
120,-0.024064171122994655,0.0
140,-0.02807486631016043,0.0
160,-0.03208556149732621,0.0
180,-0.036096256684491984,0.0
200,-0.04010695187165776,0.0
220,-0.04411764705882353,0.0
240,-0.04812834224598931,0.0
260,-0.05213903743315509,0.0
280,-0.05614973262032086,0.0
300,-0.060160427807486636,0.0
320,-0.06417112299465241,0.0
340,-0.06818181818181819,0.0
360,-0.07219251336898397,0.0
380,-0.07620320855614975,0.0
400,-0.08021390374331552,0.0
420,-0.08422459893048129,0.0
440,-0.08823529411764706,0.0
460,-0.09224598930481284,0.0
480,-0.09625668449197862,0.0
500,-0.1002673796791444,0.0
520,-0.10427807486631017,0.0
540,-0.10828877005347595,0.0
560,-0.11229946524064172,0.0
580,-0.1163101604278075,0.0
600,-0.12032085561497327,0.0
620,-0.12433155080213905,0.0
640,-0.12834224598930483,0.0
660,-0.1323529411764706,0.0
680,-0.13636363636363638,0.0
700,-0.14037433155080214,0.0
720,-0.14438502673796794,0.0
740,-0.1483957219251337,0.0
760,-0.1524064171122995,0.0
780,-0.15641711229946526,0.0
800,-0.16042780748663105,0.0
820,-0.1644385026737968,0.0
840,-0.16844919786096257,0.0
860,-0.17245989304812837,0.0
880,-0.17647058823529413,0.0
900,-0.18048128342245992,0.0
920,-0.18449197860962568,0.0
940,-0.18850267379679148,0.0
960,-0.19251336898395724,0.0
980,-0.196524064171123,0.0
1000,-0.2005347593582888,0.0
1020,-0.20454545454545456,0.0
1040,-0.20855614973262035,0.0
1060,-0.2125668449197861,0.0
1080,-0.2165775401069519,0.0
1100,-0.22058823529411767,0.0
1120,-0.22459893048128343,0.0
1140,-0.22860962566844922,0.0
1160,-0.232620320855615,0.0
1180,-0.23663101604278078,0.0
1200,-0.24064171122994654,0.0
1220,-0.24465240641711233,0.0
1240,-0.2486631016042781,0.0
1260,-0.25267379679144386,0.0
1280,-0.25668449197860965,0.0
1300,-0.26069518716577544,0.0
1320,-0.2647058823529412,0.0
1340,-0.26871657754010697,0.0
1360,-0.27272727272727276,0.0
1380,-0.27673796791443855,0.0
1400,-0.2807486631016043,0.0
1420,-0.2847593582887701,0.0
1440,-0.2887700534759359,0.0
1460,-0.2927807486631016,0.0
1480,-0.2967914438502674,0.0
1500,-0.3008021390374332,0.0
1520,-0.304812834224599,0.0
1540,-0.3088235294117647,0.0
1560,-0.3128342245989305,0.0
1580,-0.3168449197860963,0.0
1600,-0.3208556149732621,0.0
1620,-0.32486631016042783,0.0
1640,-0.3288770053475936,0.0
1660,-0.3328877005347594,0.0
1680,-0.33689839572192515,0.0
1700,-0.34090909090909094,0.0
1720,-0.34491978609625673,0.0
1740,-0.3489304812834225,0.0
1760,-0.35294117647058826,0.0
1780,-0.35695187165775405,0.0
1800,-0.36096256684491984,0.0
1820,-0.3649732620320856,0.0
1840,-0.36898395721925137,0.0
1860,-0.37299465240641716,0.0
1880,-0.37700534759358295,0.0
1900,-0.3810160427807487,0.0
1920,-0.3850267379679145,0.0
1940,-0.38903743315508027,0.0
1960,-0.393048128342246,0.0
1980,-0.3970588235294118,0.0
2000,-0.4010695187165776,0.0
2020,-0.4050802139037434,0.0
2040,-0.4090909090909091,0.0
2060,-0.4131016042780749,0.0
2080,-0.4171122994652407,0.0
2100,-0.42112299465240643,0.0
2120,-0.4251336898395722,0.0
2140,-0.429144385026738,0.0
2160,-0.4331550802139038,0.0
2180,-0.43716577540106955,0.0
2200,-0.44117647058823534,0.0
2220,-0.44518716577540113,0.0
2240,-0.44919786096256686,0.0
2260,-0.45320855614973266,0.0
2280,-0.45721925133689845,0.0
2300,-0.46122994652406424,0.0
2320,-0.46524064171123,0.0
2340,-0.46925133689839577,0.0
2360,-0.47326203208556156,0.0
2380,-0.47727272727272735,0.0
2400,-0.4812834224598931,0.0
2420,-0.4852941176470589,0.0
2440,-0.48930481283422467,0.0
2460,-0.4933155080213904,0.0
2480,-0.4973262032085562,0.0
2500,-0.5013368983957219,0.0
2520,-0.5053475935828877,0.0
2540,-0.5093582887700535,0.0
2560,-0.5133689839572193,0.0
2580,-0.5173796791443851,0.0
2600,-0.5213903743315509,0.0
2620,-0.5254010695187167,0.0
2640,-0.5294117647058824,0.0
2660,-0.5334224598930482,0.0
2680,-0.5374331550802139,0.0
2700,-0.5414438502673797,0.0
2720,-0.5454545454545455,0.0
2740,-0.5494652406417113,0.0
2760,-0.5534759358288771,0.0
2780,-0.5574866310160428,0.0
